id,title,author,publisher,year,page,BookContents
1,Laskar Pelangi,Andrea Hirata,Bentang Pustaka,2005,529 halaman,Membahas tentang perjalanan si Ikal ketika menempuh pendidikan di Belitong bersama teman-temannya yang menyenangkan.
2,Raja yang Terpenjara,Khalil Gibran,Yayasan Bentang Budaya,1999,165 halaman,mencertikan keluh keras seorang raja yang mana tidak memiliki berbagai kekuasaan untuk melakukan suatu hal sehingga mengalami kesulitan untuk mengambil sebuah keputusan untuk rakyatnya yang memiliki keluh keash.
3,Surat Kecil untuk Tuhan,Agnes Davonner,Inandra Published,2008,232 halaman,menceritakan tentang perjuangan seorang gadis untuk bertahan hidup melawan kanker yang mana dideritanya.
4,London, Windry Ramadhina,PT.Gramedia Pustaka Utama,2015, 327 halaman,Gilang yang cinta kepada sahabatnya Ning yang mana Ning akan pergi ke London untuk mengejar cita-citanya,Gilang akan berjuang ke London untuk mengukapkan rasa cintanya.
